,track_id,track_name,track_pop,artist_name,artist_pop,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
23,17wgsCCy5uZ5qs9S6bfHDJ,Dağları Deldim,55,Özlem Tekin,44.0,"['karadeniz turkuleri', 'turkish pop', 'turkish rock']",0.748,0.763,0,-7.956,1.0,0.251,0.0481,0.0,0.1,0.649,159.933
24,0PlABPqYHKhlhTgGbHWuMr,Poşet,5,Serdar Ortaç,62.0,['turkish pop'],0.789,0.889,7,-5.314,0.0,0.195,0.032,0.00047,0.0805,0.645,129.993
25,5y82QJRlODEp51zV8n6w4P,Seyre Dursun Aşk,4,Ozan Çolakoğlu,45.0,"['deep turkish pop', 'turkish pop']",0.647,0.804,11,-4.949,0.0,0.05,0.0334,6.99e-05,0.0522,0.53,129.997
26,5T4DlSBcqRhKdUljhPFb5D,Bi Seni Konuşurum,55,Göksel,60.0,"['turkce slow sarkilar', 'turkish pop']",0.766,0.681,4,-7.218,0.0,0.0386,0.352,4.63e-06,0.0969,0.701,95.995
27,1IVarDBONtKyRmGwyEDjxu,Bambaşka Biri,56,Ajda Pekkan,58.0,"['turkish pop', 'turkish psych']",0.759,0.863,0,-8.89,1.0,0.0574,0.0441,2.88e-06,0.289,0.808,120.016
28,32VgH3g8D7l7ZuT74FgdPY,Daha Mutlu Olamam,9,mor ve ötesi,63.0,"['turkish alternative', 'turkish alternative rock', 'turkish rock']",0.493,0.701,9,-7.01,1.0,0.0343,0.00884,0.0,0.0691,0.563,135.699
29,7BGAsqmzVtq0Ms8o0MegsQ,"Senden, Benden, Bizden",57,Athena,56.0,"['turkish pop', 'turkish punk', 'turkish rock']",0.858,0.501,2,-8.946,0.0,0.0646,0.206,1.46e-05,0.045,0.916,112.134
30,6QrXr0D4ImJSkYmNmjG7A9,Ben Güzelden Anlarım,59,Kenan Doğulu,59.0,['turkish pop'],0.701,0.87,7,-7.47,1.0,0.104,0.107,0.0,0.372,0.806,102.033
31,7msHf1EMPuB73Pq8zQV4Gw,Nirvana,5,Gülşen,61.0,['turkish pop'],0.758,0.642,9,-7.067,1.0,0.125,0.0277,0.0,0.092,0.552,97.982
32,4WtCKM99pYcl8pOAZI8Dbu,Ben Aptal mıyım,50,Nil Karaibrahimgil,56.0,"['turkish folk', 'turkish pop', 'turkish singer-songwriter']",0.681,0.85,9,-3.064,1.0,0.0586,0.0139,0.0,0.162,0.779,120.072
33,12Hg74dDAVQMo1Oe0BJKZe,Su Gibisin,47,Emre Altug,44.0,"['deep turkish pop', 'turkish pop']",0.605,0.94,9,-2.072,0.0,0.0714,0.143,0.0,0.0312,0.83,146.899
34,43tIlj5mqSjV4DPuDRb5NQ,Köprüaltı,64,Duman,66.0,"['anadolu rock', 'karadeniz turkuleri', 'turkish alternative', 'turkish alternative rock', 'turkish rock']",0.589,0.726,9,-6.046,1.0,0.0444,0.283,0.0,0.0875,0.817,150.068
35,5nuGiGWV1tGsLYqi0Y8RmZ,Hele Bi Gel,61,Pinhani,62.0,"['oyun havasi', 'turkish pop', 'turkish rock']",0.68,0.576,9,-8.637,0.0,0.0296,0.324,0.0,0.0448,0.624,146.037
36,2SPmlK9KJCnRgqOFRpYGc6,Senden Çok Var,0,Rober Hatemo,47.0,"['arabesk', 'deep turkish pop', 'turkish pop']",0.8,0.763,6,-6.193,1.0,0.0506,0.228,0.0,0.0893,0.777,127.974
37,73y3B6WnY28e2qKrCV4NtY,Karabiberim,0,Serdar Ortaç,62.0,['turkish pop'],0.783,0.835,5,-11.876,1.0,0.0438,0.648,0.00057,0.05,0.968,151.994
38,0seHKl9cX6sRrgO5Ql28b4,Seni Yerler,58,Sezen Aksu,67.0,['turkish pop'],0.752,0.813,8,-6.787,0.0,0.103,0.0315,2.46e-06,0.0858,0.761,119.034
